가구번호,시도,주택층수,거주층수,주택방향,건축년도,침실(방수),거실수,욕실수,주택소유형태,현주택 거주년수,주 난방방식,주 난방연료,보조 난방방식(택1),보조 난방방식(택2),냉방방식,에어컨 설정 온도,주 취사연료,경제활동 가구원수,65세 이상 노인수,가구주성별,가구주교육정도,가구주직업,가구특성1,가구특성2,연간에너지소비량계,연간일반전력소비량,연간심야전력소비량,연간도시가스소비량,연간석유소비량계,연간프로판소비량,자가용 총 보유대수,연간지역난방소비량,연간연탄소비량,주난방시설,가중치,최종가중치,도시규모,주택형태,주택면적,가구원수,가구원구성,가구주연령대,가구 월평균소득
37057010,37,1,1,1,3,3,1,2,,15,1,4,,1,3,24,3,1,1,2,1,5,1,,7972.1247,3525.145,0,0,0,410,1,0,0,3,6625.739444,1491.703113,3,1,3,4,3,5,1
37057014,37,1,1,1,2,2,1,1,,7,1,4,,1,3,24,3,2,1,1,2,3,1,,7804.0243,3722.005,0,0,0,382,1,0,0,3,6625.739444,2924.810879,3,1,2,3,5,4,3
37057019,37,1,1,3,2,3,1,2,,3,1,4,,1,1,,3,3,1,1,2,1,1,,5329.6869,3310.915,0,0,0,206,0,0,0,3,6625.739444,1491.703113,3,1,3,4,4,4,2
37057020,37,1,1,3,1,3,1,2,,7,1,4,,1,1,,3,1,1,1,2,1,1,,9711.072,3165.2,0,0,0,580,1,0,0,3,6625.739444,1491.703113,3,1,3,4,3,3,1
37057021,37,18,4,6,5,3,1,1,,5,1,5,,1,3,23,4,2,0,1,3,1,1,,3073.1197,3573.395,0,0,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,2,1
37057022,37,18,4,6,5,3,1,1,,4,1,5,,1,3,25,4,1,0,1,3,1,1,,12059.16506,3672.79,0,853.362,0,0,0,0,0,3,5585.196714,2396.872285,3,3,3,4,3,2,2
37057025,37,18,13,6,5,3,1,1,,7,1,5,,1,3,24,4,1,0,1,3,1,1,,12578.67001,3239.505,0,938.897,0,0,2,0,0,3,5585.196714,2396.872285,3,3,3,4,3,3,2
37057026,37,18,18,6,5,3,1,1,,9,1,5,,1,3,24,4,1,0,1,2,1,1,,10037.12933,3239.505,0,695.221,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,3,2
37057027,37,18,1,6,5,3,1,1,,4,1,5,,1,3,26,4,2,0,1,3,1,1,,9565.32543,3474.965,0,630.571,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,2,2
37057028,37,18,7,6,5,3,1,1,,6,1,5,,1,3,24,4,1,0,1,2,2,1,,6753.64144,3438.295,0,364.018,0,0,1,0,0,3,5585.196714,5090.833231,3,3,3,2,2,3,2
37057029,37,18,15,6,5,3,1,1,,11,1,5,,1,3,20,4,2,0,1,3,1,1,,15958.43364,3683.405,0,1226.338,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,2,1
37057030,37,18,10,6,5,3,1,1,,7,1,5,,1,3,18,4,1,0,1,2,1,1,,10723.44555,3579.185,0,733.015,0,0,1,0,0,3,5585.196714,5090.833231,3,3,3,2,2,5,1
37057031,37,13,12,5,4,2,1,1,,1,1,5,,1,3,23,4,2,0,1,2,1,1,,5659.42664,3215.38,0,277.488,0,0,1,0,0,3,5585.196714,4699.593419,3,3,2,3,3,2,2
37057037,37,18,1,6,5,3,1,1,,14,1,5,,1,3,24,4,2,0,1,2,1,1,,3002.5782,3491.37,0,0,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,3,2
37057039,37,18,7,6,5,3,1,1,,5,1,5,,1,3,21,4,2,0,1,3,1,1,,10551.24245,3222.135,0,745.945,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,3,1
37057041,37,2,2,2,2,3,1,1,,10,1,5,,1,3,22,4,1,1,1,3,1,3,,13006.8542,3529.97,0,956,0,0,0,0,0,3,6625.739444,9935.047345,3,1,3,3,5,4,1
37057043,37,2,2,2,4,2,1,1,,17,1,5,,1,3,22,4,1,2,1,1,2,1,,3044.9031,3540.585,0,0,0,0,1,0,0,3,6625.739444,10762.1372,3,1,3,2,2,5,1
